Survived,Pclass,Sex,SibSp,Parch,Embarked,Has_Cabin,Family_Size,Is_Alone,Age_Child,Age_Teenager,Age_Young_Adult,Age_Adult,Age_Senior,Fare_Low_Fare,Fare_Medium_Fare,Fare_High_Fare,Fare_Luxury_Fare
0,3,1,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0
1,1,0,1,0,1,1,2,0,0,0,0,1,0,0,0,0,1
1,3,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
1,1,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1
0,3,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
0,3,1,0,0,2,0,1,1,0,0,1,0,0,0,1,0,0
0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1
0,3,1,3,1,0,0,5,0,1,0,0,0,0,0,0,1,0
1,3,0,0,2,0,0,3,0,0,0,1,0,0,0,1,0,0
1,2,0,1,0,1,0,2,0,0,1,0,0,0,0,0,1,0
1,3,0,1,1,0,1,3,0,1,0,0,0,0,0,0,1,0
1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0
0,3,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
0,3,1,1,5,0,0,7,0,0,0,0,1,0,0,0,0,1
0,3,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
0,3,1,4,1,2,0,6,0,1,0,0,0,0,0,0,1,0
1,2,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
0,3,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0
1,3,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0
0,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
1,2,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0
1,3,0,0,0,2,0,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
0,3,0,3,1,0,0,5,0,1,0,0,0,0,0,0,1,0
1,3,0,1,5,0,0,7,0,0,0,0,1,0,0,0,0,1
0,3,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0
0,1,1,3,2,0,1,6,0,0,0,1,0,0,0,0,0,1
1,3,0,0,0,2,0,1,1,0,0,1,0,0,1,0,0,0
0,3,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
